SEZ2011,P1,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,0-5anni,6-19 anni,20-64 anni,over 65 anni,OBJECTID,PRO_COM,SEZ,TIPO_LOC,SHAPE_AREA,SHAPE_LEN,POP_2010,ACE,mappa2,mappa2bis,geometry,P1divSHAPE
151460000001.00000000,14,1,0,0,0,0,0,1,1,2,1,1,0,0,2,0,5,7.14285714285714,0,42.8571428571429,50,54619,15146,1,1,39714.20304870000,998.66874736300,15.00000000000,1.00000000000,2,14.2900000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>9.193953,45.463072 9.192454,45.463045 9.190348,45.463011 9.188842,45.463015 9.188856,45.464021 9.189592,45.464013 9.190336,45.464004 9.191105,45.463991 9.191742,45.463991 9.19264,45.463989 9.193125,45.463987 9.193323,45.463736 9.193617,45.463734 9.193623,45.463236 9.193949,45.463232 9.193953,45.463072</coordinates></LinearRing></outerBoundaryIs></Polygon>",0.03525187193818881
151460000002.00000000,24,2,3,2,2,0,0,4,5,1,2,0,0,0,2,1,0,8.33333333333333,29.1666666666667,50,12.5,51543,15146,2,1,3412.36776470000,294.57678348300,21.00000000000,1.00000000000,8,32.0000000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>9.193623,45.463236 9.193617,45.463734 9.193323,45.463736 9.193125,45.463987 9.193738,45.46417 9.193924,45.463814 9.193949,45.463232 9.193623,45.463236</coordinates></LinearRing></outerBoundaryIs></Polygon>",0.7033239572906929
151460000003.00000000,23,0,0,0,0,0,0,0,1,0,2,1,1,2,3,3,10,0,0,30.4347826086957,69.5652173913043,51544,15146,3,1,10964.75691810000,432.51744055000,22.00000000000,1.00000000000,1,4.1700000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>9.192497,45.46236 9.192454,45.463045 9.193953,45.463072 9.193973,45.462404 9.193079,45.462196 9.193068,45.46201 9.192618,45.462056 9.192497,45.46236</coordinates></LinearRing></outerBoundaryIs></Polygon>",0.20976297214608472
151460000004.00000000,9,1,1,0,0,0,0,0,0,0,0,2,0,1,1,1,2,11.1111111111111,11.1111111111111,33.3333333333333,44.4444444444444,51545,15146,4,1,2383.06361458000,214.24642309300,14.00000000000,1.00000000000,0,0.0000000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>9.193079,45.462196 9.193973,45.462404 9.19403,45.462003 9.193068,45.46201 9.193079,45.462196</coordinates></LinearRing></outerBoundaryIs></Polygon>",0.37766511749566506
151460000005.00000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,100,51546,15146,5,1,21974.42507030000,608.48995646900,7.00000000000,1.00000000000,0,0.0000000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>9.190341,45.462614 9.190348,45.463011 9.192454,45.463045 9.192497,45.46236 9.192618,45.462056 9.191952,45.461777 9.191566,45.461512 9.190937,45.462043 9.190339,45.462056 9.190341,45.462614</coordinates></LinearRing></outerBoundaryIs></Polygon>",0.0045507447717099605
151460000006.00000000,7,0,0,0,0,0,0,1,0,0,0,1,1,2,0,1,1,0,0,71.4285714285714,28.5714285714286,51547,15146,6,1,5161.53251602000,322.59526174300,7.00000000000,1.00000000000,0,0.0000000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>9.188844,45.462621 9.188842,45.463015 9.190348,45.463011 9.190341,45.462614 9.189615,45.462617 9.188844,45.462621</coordinates></LinearRing></outerBoundaryIs></Polygon>",0.13561863609836602
151460000007.00000000,8,0,1,1,0,0,0,0,0,2,0,3,0,1,0,0,0,0,25,75,0,51548,15146,7,1,5446.54259952000,323.22364705500,9.00000000000,1.00000000000,4,50.0000000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>9.190341,45.462614 9.190339,45.462056 9.189996,45.462051 9.188843,45.462047 9.189024,45.46218 9.189615,45.462617 9.190341,45.462614</coordinates></LinearRing></outerBoundaryIs></Polygon>",0.1468821707316681
151460000008.00000000,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,66.6666666666667,33.3333333333333,51549,15146,8,1,1924.21031878000,211.52744152700,4.00000000000,1.00000000000,0,0.0000000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>9.189615,45.462617 9.189024,45.46218 9.188843,45.462047 9.188844,45.462621 9.189615,45.462617</coordinates></LinearRing></outerBoundaryIs></Polygon>",0.15590811309556218
151460000009.00000000,18,1,0,2,2,3,1,0,2,1,0,3,0,1,0,2,0,5.55555555555556,22.2222222222222,61.1111111111111,11.1111111111111,51550,15146,9,1,5066.12095662000,301.00175323900,22.00000000000,1.00000000000,2,11.1100000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>9.188602,45.462034 9.18793,45.462499 9.188611,45.463061 9.188842,45.463015 9.188844,45.462621 9.188843,45.462047 9.188602,45.462034</coordinates></LinearRing></outerBoundaryIs></Polygon>",0.3553014259653443
151460000010.00000000,14,2,1,2,0,0,2,0,1,2,1,1,2,0,0,0,0,14.2857142857143,21.4285714285714,64.2857142857143,0,51551,15146,10,1,5464.44147508000,296.80724418800,18.00000000000,1.00000000000,0,0.0000000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>9.187302,45.46301 9.188012,45.463464 9.188611,45.463061 9.18793,45.462499 9.187302,45.46301</coordinates></LinearRing></outerBoundaryIs></Polygon>",0.2562018472307829
151460000011.00000000,12,0,0,0,1,1,0,0,0,1,2,1,1,2,1,1,1,0,8.33333333333333,66.6666666666667,25,51552,15146,11,1,3894.47119060000,253.32614785800,17.00000000000,1.00000000000,1,8.3300000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>9.186872,45.463333 9.187496,45.463819 9.188012,45.463464 9.187302,45.46301 9.186872,45.463333</coordinates></LinearRing></outerBoundaryIs></Polygon>",0.3081291249236645
