SEZ2011;MURATURA PORTANTE;CALCESTRUZZO ARMATO;MATERIALE (LEGNO, ACCIAIO…);PRIMA 1919;1919-1945;1946-1960;1961-1970;1971-1980;1981-1990;1991-2000;2001-2005;DOPO 2005;EDIFICI RES. STATO OTTIMO;EDIFICI RES. STATO BUONO;EDIFICI RES. STATO MEDIOCRE;EDIFICI RES. STATO PESSIMO
151460001355;8;0;0;3;5;0;0;0;0;0;0;0;1;7;0;0
151460001356;3;0;0;2;0;1;0;0;0;0;0;0;1;2;0;0
151460001357;3;1;1;3;1;1;0;0;0;0;0;0;1;4;0;0
151460001358;5;3;1;3;3;2;1;0;0;0;0;0;1;8;0;0
151460001359;3;2;0;3;0;2;0;0;0;0;0;0;0;5;0;0
151460001360;4;1;0;4;0;1;0;0;0;0;0;0;0;5;0;0
151460001361;4;1;1;5;0;0;0;0;1;0;0;0;1;4;1;0
151460001362;4;0;0;4;0;0;0;0;0;0;0;0;0;4;0;0
151460001363;4;0;1;3;2;0;0;0;0;0;0;0;1;4;0;0
151460001364;2;2;0;1;1;1;0;1;0;0;0;0;1;2;1;0
151460001365;12;3;0;7;0;4;4;0;0;0;0;0;12;3;0;0
151460001366;5;1;0;3;0;2;1;0;0;0;0;0;3;3;0;0
151460001367;6;0;0;6;0;0;0;0;0;0;0;0;2;4;0;0
151460001368;9;0;0;8;1;0;0;0;0;0;0;0;8;1;0;0
151460001369;3;2;0;0;3;2;0;0;0;0;0;0;1;4;0;0
151460001370;2;5;0;0;2;4;1;0;0;0;0;0;1;6;0;0
151460001371;3;1;0;1;2;1;0;0;0;0;0;0;2;2;0;0
151460001372;8;0;0;2;4;2;0;0;0;0;0;0;3;4;1;0
151460001373;6;7;0;1;10;1;0;1;0;0;0;0;7;6;0;0
151460001374;6;2;0;2;3;2;1;0;0;0;0;0;8;0;0;0
151460001375;5;1;0;2;4;0;0;0;0;0;0;0;5;1;0;0
151460001376;5;1;0;0;3;2;1;0;0;0;0;0;4;2;0;0
151460001377;3;3;0;1;1;4;0;0;0;0;0;0;1;4;1;0
151460001378;1;2;0;0;1;2;0;0;0;0;0;0;1;2;0;0
151460001379;5;2;0;5;1;0;1;0;0;0;0;0;6;1;0;0
151460001380;1;1;0;1;0;1;0;0;0;0;0;0;2;0;0;0
151460001381;5;0;0;0;3;2;0;0;0;0;0;0;1;4;0;0
151460001382;6;0;0;6;0;0;0;0;0;0;0;0;0;6;0;0
151460001383;4;2;1;1;4;2;0;0;0;0;0;0;1;6;0;0
151460001384;8;1;0;5;2;2;0;0;0;0;0;0;1;8;0;0
151460001385;8;0;0;4;4;0;0;0;0;0;0;0;0;8;0;0
151460001386;26;0;0;5;19;2;0;0;0;0;0;0;23;3;0;0
151460001387;9;5;0;1;5;6;2;0;0;0;0;0;8;6;0;0
151460001388;9;2;0;6;2;1;1;1;0;0;0;0;4;7;0;0
151460001389;5;2;1;0;6;2;0;0;0;0;0;0;5;2;1;0
151460001390;11;1;0;1;10;1;0;0;0;0;0;0;1;10;1;0
151460001391;6;2;0;0;6;2;0;0;0;0;0;0;6;1;1;0
151460001392;8;3;0;4;3;2;0;0;2;0;0;0;11;0;0;0
151460001393;13;2;1;6;6;4;0;0;0;0;0;0;15;1;0;0
151460001394;7;0;0;0;6;1;0;0;0;0;0;0;1;4;2;0
151460001395;9;0;0;5;4;0;0;0;0;0;0;0;0;8;1;0
151460001396;9;2;0;8;1;0;0;1;0;0;1;0;2;9;0;0
151460001397;6;1;0;3;3;0;1;0;0;0;0;0;6;1;0;0
151460001398;1;1;0;1;1;0;0;0;0;0;0;0;1;1;0;0
151460001399;1;5;0;0;6;0;0;0;0;0;0;0;6;0;0;0
151460001400;3;5;0;0;3;5;0;0;0;0;0;0;4;4;0;0
151460001401;3;0;0;3;0;0;0;0;0;0;0;0;0;3;0;0
151460001402;5;5;0;0;5;1;0;0;0;0;4;0;8;2;0;0
151460001403;7;0;0;3;4;0;0;0;0;0;0;0;7;0;0;0
151460001404;1;4;0;1;3;1;0;0;0;0;0;0;5;0;0;0
151460001405;3;3;0;0;2;4;0;0;0;0;0;0;5;1;0;0
151460001406;5;3;0;2;6;0;0;0;0;0;0;0;8;0;0;0
151460001407;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
151460001408;4;4;0;4;0;2;1;0;0;1;0;0;8;0;0;0
151460001409;9;1;0;4;3;3;0;0;0;0;0;0;9;1;0;0
151460001410;3;6;0;0;5;3;1;0;0;0;0;0;8;1;0;0
151460001411;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0
151460001412;2;1;0;0;2;1;0;0;0;0;0;0;1;2;0;0
151460001413;2;1;0;0;2;1;0;0;0;0;0;0;0;3;0;0
151460001414;1;12;0;0;1;10;2;0;0;0;0;0;0;13;0;0
151460001415;0;2;0;0;1;1;0;0;0;0;0;0;2;0;0;0
151460001416;1;10;0;0;7;4;0;0;0;0;0;0;11;0;0;0
151460001417;1;3;0;1;1;2;0;0;0;0;0;0;4;0;0;0
151460001418;3;4;0;2;2;2;1;0;0;0;0;0;7;0;0;0
151460001419;3;1;0;1;2;1;0;0;0;0;0;0;0;4;0;0
151460001420;5;1;0;5;0;1;0;0;0;0;0;0;0;5;1;0
151460001421;9;0;0;6;0;3;0;0;0;0;0;0;3;6;0;0
151460001422;10;3;0;0;10;1;2;0;0;0;0;0;5;8;0;0
151460001423;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0
151460001424;8;5;0;4;4;0;1;3;1;0;0;0;6;6;1;0
151460001425;3;3;0;1;2;0;3;0;0;0;0;0;4;2;0;0
151460001426;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
151460001427;5;0;0;0;5;0;0;0;0;0;0;0;5;0;0;0
151460001428;5;2;0;4;1;0;2;0;0;0;0;0;6;1;0;0
151460001429;7;4;0;7;0;0;4;0;0;0;0;0;8;3;0;0
151460001430;4;4;0;3;1;0;4;0;0;0;0;0;4;3;1;0
151460001431;5;1;0;1;4;0;0;1;0;0;0;0;2;4;0;0
151460001432;10;1;0;7;3;1;0;0;0;0;0;0;9;2;0;0
151460001433;9;3;0;9;0;1;0;1;0;1;0;0;12;0;0;0
151460001434;6;4;0;3;3;4;0;0;0;0;0;0;5;5;0;0
151460001435;5;0;0;5;0;0;0;0;0;0;0;0;5;0;0;0
151460001436;7;0;0;7;0;0;0;0;0;0;0;0;7;0;0;0
151460001437;7;1;0;1;6;1;0;0;0;0;0;0;8;0;0;0
151460001438;8;0;0;8;0;0;0;0;0;0;0;0;8;0;0;0
151460001439;7;0;0;7;0;0;0;0;0;0;0;0;6;1;0;0
151460001440;8;0;0;8;0;0;0;0;0;0;0;0;8;0;0;0
151460001441;7;1;0;6;1;0;1;0;0;0;0;0;6;2;0;0
151460001442;6;1;0;3;3;0;1;0;0;0;0;0;7;0;0;0
151460001443;4;0;0;0;4;0;0;0;0;0;0;0;1;3;0;0
151460001444;6;0;1;0;6;1;0;0;0;0;0;0;2;3;2;0
151460001445;4;0;0;0;4;0;0;0;0;0;0;0;2;2;0;0
151460001446;10;0;0;2;8;0;0;0;0;0;0;0;2;4;4;0
151460001447;5;0;1;0;5;1;0;0;0;0;0;0;1;4;1;0
151460001448;6;1;0;0;6;1;0;0;0;0;0;0;4;3;0;0
151460001449;12;3;0;9;1;3;2;0;0;0;0;0;12;3;0;0
151460001450;10;1;0;10;0;0;1;0;0;0;0;0;11;0;0;0
151460001451;5;1;0;4;1;1;0;0;0;0;0;0;6;0;0;0
151460001452;7;0;0;6;1;0;0;0;0;0;0;0;3;4;0;0
151460001453;4;4;0;0;3;3;2;0;0;0;0;0;5;3;0;0
151460001454;1;3;3;0;0;6;0;1;0;0;0;0;5;2;0;0
151460001455;0;14;0;0;1;12;1;0;0;0;0;0;1;13;0;0
151460001456;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0
151460001457;3;2;0;2;1;0;1;1;0;0;0;0;4;1;0;0
151460001458;3;6;0;0;3;5;0;1;0;0;0;0;2;7;0;0
151460001459;1;5;0;1;0;4;0;1;0;0;0;0;5;1;0;0
151460001460;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0
151460001461;7;0;0;4;3;0;0;0;0;0;0;0;7;0;0;0
151460001462;5;1;0;2;3;0;1;0;0;0;0;0;6;0;0;0
151460001463;1;0;1;0;1;1;0;0;0;0;0;0;1;1;0;0
151460001464;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0
151460001465;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0
151460001466;0;4;1;0;0;0;4;0;0;0;0;1;5;0;0;0
151460001467;5;2;4;1;4;0;5;1;0;0;0;0;1;8;2;0
151460001468;0;3;0;0;3;0;0;0;0;0;0;0;0;3;0;0
151460001469;9;0;6;1;5;7;2;0;0;0;0;0;4;10;1;0
151460001470;6;0;0;0;6;0;0;0;0;0;0;0;0;3;3;0
151460001471;0;0;8;0;3;5;0;0;0;0;0;0;0;4;4;0
151460001472;1;0;13;0;0;11;3;0;0;0;0;0;0;10;4;0
151460001473;5;0;0;1;4;0;0;0;0;0;0;0;1;3;1;0
151460001474;7;1;0;6;1;0;1;0;0;0;0;0;3;5;0;0
151460001475;1;3;6;0;1;7;2;0;0;0;0;0;3;6;1;0
151460001476;1;0;6;0;6;1;0;0;0;0;0;0;4;3;0;0
151460001477;5;1;8;1;2;11;0;0;0;0;0;0;6;7;1;0
151460001478;3;0;5;0;3;3;2;0;0;0;0;0;0;7;1;0
151460001479;2;0;3;1;1;3;0;0;0;0;0;0;1;3;1;0
151460001480;7;0;8;0;6;9;0;0;0;0;0;0;3;11;1;0
151460001481;12;0;0;0;12;0;0;0;0;0;0;0;12;0;0;0
151460001482;1;0;2;0;1;2;0;0;0;0;0;0;1;1;1;0
151460001483;6;0;0;5;0;1;0;0;0;0;0;0;4;2;0;0
151460001484;1;1;0;1;0;1;0;0;0;0;0;0;1;1;0;0
151460001485;3;0;0;1;0;1;0;1;0;0;0;0;0;3;0;0
151460001486;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0
151460001487;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0
151460001488;8;0;0;8;0;0;0;0;0;0;0;0;8;0;0;0
151460001489;2;0;1;1;1;1;0;0;0;0;0;0;0;3;0;0
151460001490;9;2;1;7;2;3;0;0;0;0;0;0;10;2;0;0
151460001491;7;0;1;1;6;1;0;0;0;0;0;0;0;4;3;1
151460001492;7;0;0;0;7;0;0;0;0;0;0;0;0;0;3;4
151460001493;7;0;0;6;0;1;0;0;0;0;0;0;6;1;0;0
151460001494;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0
151460001495;1;0;5;0;1;3;2;0;0;0;0;0;0;4;2;0
151460001496;2;0;2;0;2;2;0;0;0;0;0;0;1;2;1;0
151460001497;1;0;6;0;5;1;1;0;0;0;0;0;0;2;5;0
151460001498;2;0;5;0;5;2;0;0;0;0;0;0;3;1;3;0
151460001499;3;0;10;0;8;5;0;0;0;0;0;0;7;1;5;0
151460001500;0;0;10;0;6;3;0;1;0;0;0;0;3;3;4;0
151460001501;0;3;0;0;3;0;0;0;0;0;0;0;0;0;3;0
151460001502;0;0;5;0;4;1;0;0;0;0;0;0;2;2;1;0
151460001503;0;0;9;0;9;0;0;0;0;0;0;0;2;5;2;0
151460001504;1;0;6;0;5;2;0;0;0;0;0;0;2;3;2;0
151460001505;0;1;9;0;2;8;0;0;0;0;0;0;0;8;2;0
151460001506;11;0;0;4;6;1;0;0;0;0;0;0;5;6;0;0
151460001507;7;2;1;3;5;2;0;0;0;0;0;0;5;5;0;0
151460001508;7;2;0;7;0;2;0;0;0;0;0;0;3;5;1;0
151460001509;5;1;0;2;3;1;0;0;0;0;0;0;3;2;1;0
151460001510;8;1;0;4;2;2;1;0;0;0;0;0;4;5;0;0
151460001511;5;2;0;0;5;2;0;0;0;0;0;0;1;4;2;0
151460001512;6;0;0;3;3;0;0;0;0;0;0;0;2;4;0;0
151460001513;10;4;0;4;6;3;1;0;0;0;0;0;5;7;2;0
151460001514;6;6;0;0;3;4;5;0;0;0;0;0;4;8;0;0
151460001515;2;8;1;1;1;5;4;0;0;0;0;0;10;1;0;0
151460001516;28;0;1;0;27;0;0;0;2;0;0;0;14;14;1;0
151460001517;11;1;0;5;6;0;1;0;0;0;0;0;8;3;1;0
151460001518;7;0;0;6;1;0;0;0;0;0;0;0;5;2;0;0
151460001519;3;0;12;1;11;3;0;0;0;0;0;0;6;5;4;0
151460001520;0;0;9;0;5;4;0;0;0;0;0;0;2;5;2;0
151460001521;3;5;1;0;3;0;6;0;0;0;0;0;9;0;0;0
151460001522;6;3;0;0;6;0;3;0;0;0;0;0;9;0;0;0
151460001523;4;0;2;1;3;2;0;0;0;0;0;0;6;0;0;0
151460001524;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
151460001525;12;2;1;9;3;1;1;0;0;0;1;0;15;0;0;0
151460001526;11;4;1;6;4;2;4;0;0;0;0;0;15;1;0;0
151460001527;9;0;0;1;8;0;0;0;0;0;0;0;8;1;0;0
151460001528;4;1;2;1;3;0;3;0;0;0;0;0;7;0;0;0
151460001529;4;0;0;0;4;0;0;0;0;0;0;0;4;0;0;0
151460001530;9;0;0;2;4;3;0;0;0;0;0;0;8;0;1;0
151460001531;8;0;0;2;5;1;0;0;0;0;0;0;6;2;0;0
151460001532;8;0;0;0;7;1;0;0;0;0;0;0;7;1;0;0
151460001533;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
151460001534;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0
151460001535;5;5;0;0;4;5;1;0;0;0;0;0;9;1;0;0
151460001536;7;1;0;0;7;0;1;0;0;0;0;0;8;0;0;0
151460001537;3;1;0;0;3;0;1;0;0;0;0;0;4;0;0;0
151460001538;5;1;0;1;4;1;0;0;0;0;0;0;6;0;0;0
151460001539;5;1;0;1;4;0;1;0;0;0;0;0;6;0;0;0
151460001540;3;4;3;2;3;0;0;5;0;0;0;0;10;0;0;0
151460001541;1;4;3;0;0;8;0;0;0;0;0;0;8;0;0;0
151460001542;3;2;0;3;1;0;1;0;0;0;0;0;5;0;0;0
151460001543;5;0;0;5;0;0;0;0;0;0;0;0;5;0;0;0
151460001544;1;2;1;0;0;1;3;0;0;0;0;0;3;1;0;0
151460001545;6;0;0;6;0;0;0;0;0;0;0;0;6;0;0;0
151460001546;9;0;0;9;0;0;0;0;0;0;0;0;6;3;0;0
151460001547;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
151460001548;4;0;0;4;0;0;0;0;0;0;0;0;2;2;0;0
151460001549;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
151460001550;2;0;0;2;0;0;0;0;0;0;0;0;1;1;0;0
151460001551;2;3;0;2;0;0;3;0;0;0;0;0;3;2;0;0
151460001552;7;0;0;1;5;1;0;0;0;0;0;0;7;0;0;0
151460001553;12;9;2;7;4;5;0;2;0;0;3;2;17;6;0;0
151460001554;12;6;1;8;4;2;4;0;0;0;1;0;12;7;0;0
151460001555;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
151460001556;10;7;0;5;5;1;5;1;0;0;0;0;16;1;0;0
151460001557;17;2;0;0;17;0;2;0;0;0;0;0;18;1;0;0
151460001558;28;0;0;28;0;0;0;0;0;0;0;0;23;5;0;0
151460001559;16;7;0;11;5;2;1;3;1;0;0;0;17;5;1;0
151460001560;13;4;0;3;9;4;1;0;0;0;0;0;0;15;2;0
151460001561;22;0;0;4;15;3;0;0;0;0;0;0;0;20;2;0
151460001562;34;0;0;1;32;1;0;0;0;0;0;0;1;33;0;0
151460001563;33;1;0;1;31;1;1;0;0;0;0;0;0;33;1;0
151460001564;24;0;1;1;24;0;0;0;0;0;0;0;0;24;1;0
151460001565;37;0;0;0;36;1;0;0;0;0;0;0;1;36;0;0
151460001566;23;2;0;3;18;4;0;0;0;0;0;0;1;24;0;0
151460001567;18;1;0;1;17;0;1;0;0;0;0;0;0;18;1;0
151460001568;3;3;0;0;4;2;0;0;0;0;0;0;2;3;1;0
151460001569;9;6;1;0;10;6;0;0;0;0;0;0;1;15;0;0
151460001570;7;7;1;2;5;7;1;0;0;0;0;0;0;14;1;0
151460001571;12;2;0;4;8;0;2;0;0;0;0;0;0;10;4;0
151460001572;6;4;0;4;2;1;2;0;0;0;0;1;5;5;0;0
151460001573;6;5;1;5;2;0;5;0;0;0;0;0;8;4;0;0
151460001574;8;3;0;4;4;2;1;0;0;0;0;0;6;5;0;0
151460001575;0;4;0;0;0;4;0;0;0;0;0;0;0;4;0;0
151460001576;5;4;0;0;3;2;4;0;0;0;0;0;0;9;0;0
151460001577;19;0;2;0;19;2;0;0;0;0;0;0;0;19;2;0
151460001578;24;0;0;0;24;0;0;0;0;0;0;0;0;23;1;0
151460001579;14;0;0;2;12;0;0;0;0;0;0;0;0;14;0;0
151460001580;13;3;2;1;11;1;2;3;0;0;0;0;0;15;3;0
151460001581;29;0;1;28;0;1;0;0;0;1;0;0;25;5;0;0
151460001582;9;0;5;0;9;4;1;0;0;0;0;0;0;12;2;0
151460001583;9;0;3;0;9;3;0;0;0;0;0;0;0;12;0;0
151460001584;4;0;5;0;4;4;0;0;0;0;0;1;1;6;2;0
151460001585;3;1;8;0;1;8;1;1;0;0;0;1;3;9;0;0
151460001586;7;1;7;1;6;7;1;0;0;0;0;0;1;14;0;0
151460001587;0;0;9;0;0;9;0;0;0;0;0;0;0;9;0;0
151460001588;2;0;6;0;2;6;0;0;0;0;0;0;0;7;1;0
151460001589;3;0;4;0;4;0;3;0;0;0;0;0;1;6;0;0
151460001590;7;0;4;1;3;6;1;0;0;0;0;0;4;6;1;0
151460001591;4;0;5;0;4;3;0;0;0;2;0;0;1;8;0;0
151460001592;0;1;8;0;9;0;0;0;0;0;0;0;0;8;1;0
151460001593;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
151460001594;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0
151460001595;0;3;0;0;0;1;2;0;0;0;0;0;0;3;0;0
151460001596;5;0;6;0;5;5;1;0;0;0;0;0;0;10;0;1
