OBJECTID,PRO_COM,SEZ,TIPO_LOC,SEZ2011,SHAPE_AREA,SHAPE_LEN,POP_2010,ACE,mappa2,mappa2bis
49010,15146,236,1,151460000236,8061.4682526,449.226698274,70,1,3,5
49011,15146,237,1,151460000237,5416.91154256,344.834372346,173,1,12,7.79
49015,15146,241,1,151460000241,12107.8581141,510.055010778,160,1,13,9.15
49018,15146,244,1,151460000244,11178.7035599,421.080702834,105,1,22,27.16
49241,15146,151,1,151460000151,2727.76933144,262.76778525,6,1,1,25
49253,15146,163,1,151460000163,7925.59473584,380.231111874,0,1,0,0
50663,15146,257,1,151460000257,12029.8535286,504.172315804,40,1,7,19.44
50669,15146,263,1,151460000263,7023.0626358,338.646026594,127,1,8,6.5
50675,15146,270,1,151460000270,11837.2266549,939.197794045,178,1,29,18.71
51544,15146,3,1,151460000003,10964.7569181,432.51744055,22,1,1,4.17
51562,15146,21,1,151460000021,10797.1892287,463.955079996,143,1,11,7.59
51600,15146,61,1,151460000061,20812.7026468,660.545643287,122,1,18,19.57
51615,15146,76,1,151460000076,3745.4205021,291.371670655,7,1,7,77.78
51619,15146,80,1,151460000080,7510.19176606,412.728971564,87,1,9,14.29
51692,15146,179,1,151460000179,13180.893969,500.057523298,44,1,28,60.87
51699,15146,187,1,151460000187,7309.73471508,346.103789393,44,1,8,21.62
51708,15146,196,1,151460000196,26206.169191,644.699714231,271,1,28,12.02
51714,15146,202,1,151460000202,3680.68457384,246.899233056,61,1,3,4.84
51720,15146,208,1,151460000208,3879.19720392,282.803230001,74,1,4,5.71
51725,15146,213,1,151460000213,2869.69820244,267.447238377,0,1,0,0
51747,15146,286,1,151460000286,5070.05903852,302.929266738,78,1,12,14.12
49012,15146,238,1,151460000238,12947.7009822,484.235785167,258,1,24,9.96
49013,15146,239,1,151460000239,4949.09617892,366.106983647,55,1,5,12.82
50673,15146,268,1,151460000268,2509.66127662,205.994053057,26,1,6,23.08
51556,15146,15,1,151460000015,17869.8786058,578.230455173,4,1,0,0
51560,15146,19,1,151460000019,6433.44306524,352.251318483,78,1,15,22.73
51563,15146,22,1,151460000022,56344.548709,958.963932811,370,1,38,10.44
51590,15146,50,1,151460000050,6432.19575,365.517343645,11,1,0,0
51604,15146,65,1,151460000065,10397.5619643,458.633777122,88,1,10,17.54
51662,15146,124,1,151460000124,114468.479252,1283.80091957,0,1,0,0
51689,15146,176,1,151460000176,13949.2601409,555.544465332,312,1,23,7.32
51717,15146,205,1,151460000205,4846.08167238,370.668729349,107,1,13,14.29
51724,15146,212,1,151460000212,7935.58988852,588.374813452,155,1,12,7.95
51727,15146,216,1,151460000216,10377.2945049,410.336889403,111,1,11,11.83
51730,15146,219,1,151460000219,13800.9903311,478.420799029,97,1,14,16.47
51732,15146,221,1,151460000221,4937.38081996,293.69959147,9,1,0,0
51744,15146,283,1,151460000283,9242.70123235,615.28550128,207,1,19,8.37
51800,15146,341,1,151460000341,4197.47416516,295.535817066,0,1,0,0
54566,15146,229,1,151460000229,8363.30922482,413.120157116,197,1,19,11.05
54570,15146,180,1,151460000180,4377.72261886,269.318042199,38,1,3,9.38
49005,15146,231,1,151460000231,7946.47652844,347.884363861,2,1,0,0
49019,15146,245,1,151460000245,10234.5554353,434.828105221,81,1,6,8.82
49023,15146,249,1,151460000249,8667.88287004,371.355641009,49,1,9,21.95
