CODREG;REGIONE;CODPRO;PROVINCIA;CODCOM;COMUNE;PROCOM;LOC2011;CODLOC;LOCALITA;TIPOLOC;AMPLOC;CAPOLUOGO;ALTITUDINE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;P26;P27;P28;P29;P30;P31;P32;P33;P34;P35;P36;P37;P38;P39;P40;P41;P42;P43;P44;P45;P46;P47;P48;P49;P50;P51;P52;P53;P54;P55;P56;P57;P58;P59;P60;P61;P62;P64;P65;P66;P128;P129;P130;P131;P132;P135;P136;P137;P138;P139;P140;ST1;ST2;ST3;ST4;ST5;ST6;ST7;ST8;ST9;ST10;ST11;ST12;ST13;ST14;ST15;A2;A3;A5;A6;A7;A44;A46;A47;A48;PF1;PF2;PF3;PF4;PF5;PF6;PF7;PF8;PF9;E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;E11;E12;E13;E14;E15;E16;E17;E18;E19;E20;E21;E22;E23;E24;E25;E26;E27;E28;E29;E30;E31
3;Lombardia;12;Varese;1;Agra;12001;1200110001;10001;Agra;1;12;1;655;318;166;152;123;164;3;21;7;73;81;1;7;4;11;7;10;11;15;22;20;22;29;27;22;12;24;25;27;34;8;5;4;5;11;12;11;15;13;12;14;4;10;11;17;14;306;34;118;88;55;11;0;157;16;67;44;22;8;0;141;135;4;86;82;3;149;63;31;15;7;15;7;26;116;88;47;29;16;3;11;15;1;6;9;29;0;0;0;0;0;29;153;355;0;355;0;15020;16;115;22;153;309;62;47;27;13;4;0;0;307;286;266;20;157;8;101;82;27;24;34;45;19;22;6;7;12;103;120;31;142;74;42;4;3;1;515;72;133;60;1
3;Lombardia;12;Varese;1;Agra;12001;1200110002;10002;Vignone;1;13;0;477;5;3;2;1;4;0;0;0;1;2;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;4;0;2;1;0;1;0;2;0;1;0;0;1;0;2;1;1;1;0;1;2;1;0;0;0;0;0;0;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;7;0;7;0;94;0;1;0;1;5;0;0;0;0;1;0;0;9;8;7;1;4;0;3;0;0;0;1;3;1;1;1;0;1;6;0;0;6;1;0;0;0;0;8;1;5;1;0
3;Lombardia;12;Varese;1;Agra;12001;1200126601;26601;Gaggio;2;13;0;525;16;9;7;6;8;0;2;0;5;4;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;2;2;8;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;4;16;3;2;2;9;0;0;9;2;0;2;5;0;0;0;0;0;0;0;0;16;9;5;0;0;4;4;0;0;7;5;16;9;0;2;14;0;1;8;16;0;0;0;0;0;16;7;11;0;11;0;910;0;7;0;7;16;2;1;4;0;0;0;0;14;14;14;0;1;0;13;1;1;0;1;11;0;0;0;0;1;12;1;0;10;4;0;0;0;0;18;6;8;0;0
3;Lombardia;12;Varese;1;Agra;12001;1200140000;40000;Case sparse;4;13;0;-;40;20;20;17;19;0;2;2;8;10;0;1;1;4;0;0;4;3;5;3;1;2;1;2;5;1;3;4;2;2;0;0;1;2;2;2;1;0;0;2;3;1;0;3;1;36;4;16;13;3;0;0;18;2;9;6;1;0;0;14;13;1;11;11;0;22;7;8;5;1;0;0;8;10;9;6;8;4;4;2;2;2;2;0;8;0;0;0;0;0;8;16;48;0;48;0;1673;3;11;2;16;40;4;3;7;1;1;0;0;53;50;49;1;24;3;22;1;0;4;10;19;6;4;3;2;2;35;12;0;37;10;2;0;0;0;63;13;32;4;0
3;Lombardia;12;Varese;2;Albizzate;12002;1200210001;10001;Albizzate;1;8;1;334;5251;2556;2695;2112;2524;85;417;113;1148;1269;42;60;37;251;247;229;236;254;326;336;392;406;412;343;347;309;279;288;596;144;124;108;122;144;159;171;217;205;200;157;173;156;130;122;224;4946;449;1519;1521;1137;293;27;2381;188;776;829;455;125;8;2455;2290;126;1384;1312;55;2069;796;372;302;150;112;69;817;2048;1283;573;373;196;176;162;35;98;87;11;119;165;17;72;0;0;373;2125;260;1;259;1;222188;285;1694;169;2148;5246;573;668;452;341;81;33;212;1092;1042;957;85;504;373;80;115;74;166;185;186;108;45;13;65;93;597;231;36;415;246;152;104;33;7;2548;616;271;66;4
3;Lombardia;12;Varese;2;Albizzate;12002;1200240000;40000;Case sparse;4;13;0;-;41;20;21;20;16;2;2;1;10;8;1;0;1;3;0;0;1;2;4;4;7;1;2;3;5;3;1;1;4;1;0;0;1;1;0;2;5;0;2;2;1;3;0;0;2;38;7;9;11;9;1;1;19;2;5;8;3;1;0;28;25;3;14;14;0;10;5;1;2;1;3;3;0;21;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;6;0;6;0;1240;5;9;2;16;41;4;5;4;1;1;1;6;13;11;10;1;10;0;0;5;1;1;1;0;0;0;0;2;1;7;2;0;5;2;2;1;0;0;23;6;2;2;0
3;Lombardia;12;Varese;3;Angera;12003;1200310001;10001;Angera;1;9;1;205;4724;2270;2454;1810;2274;98;412;130;977;1133;45;61;54;184;209;193;191;189;220;263;316;382;376;316;319;333;290;335;608;93;104;102;99;99;107;139;165;186;184;156;153;162;137;154;230;4490;568;1412;1367;869;255;19;2157;270;701;700;355;122;9;2044;1916;102;1138;1079;48;2094;833;314;254;112;156;91;907;1405;1370;622;423;200;165;220;38;84;101;15;317;71;17;18;0;0;423;2089;205;0;205;0;217034;382;1539;200;2121;4724;742;611;415;271;65;17;106;1272;1257;1182;75;763;156;263;235;59;161;247;202;112;91;50;25;113;786;259;24;602;367;135;56;15;7;2467;469;498;188;27
3;Lombardia;12;Varese;3;Angera;12003;1200310002;10002;Barzola;1;12;0;230;325;153;172;128;159;4;22;12;69;77;1;2;4;16;19;15;22;21;6;11;28;29;35;15;9;17;28;31;23;9;9;8;13;10;3;5;15;12;17;9;2;8;10;14;9;305;31;83;97;73;21;0;141;13;35;51;33;9;0;133;126;6;67;64;3;142;60;19;27;16;8;6;55;124;88;38;36;18;12;16;8;6;8;4;34;1;1;0;0;0;36;129;33;0;33;0;15582;13;102;17;132;325;30;43;32;22;5;0;0;114;114;112;2;84;6;22;9;2;18;33;6;20;12;10;2;20;81;11;0;56;44;10;2;0;0;186;35;54;22;1
3;Lombardia;12;Varese;3;Angera;12003;1200310003;10003;Capronno;1;13;0;269;113;49;64;53;49;5;5;1;23;24;2;0;0;5;7;1;5;2;6;8;9;4;15;11;5;9;7;6;13;2;2;0;2;1;2;2;5;2;6;6;2;6;2;4;5;106;15;38;26;22;5;0;47;6;15;14;10;2;0;51;51;0;26;26;0;49;19;9;8;3;2;1;20;42;30;15;9;5;2;7;0;1;4;0;9;0;0;0;0;0;9;51;13;0;13;0;6716;9;41;2;52;113;16;18;13;3;2;0;0;44;40;39;1;32;1;6;4;7;6;8;4;4;3;3;0;9;24;5;1;14;20;4;1;0;0;71;14;15;7;3
3;Lombardia;12;Varese;3;Angera;12003;1200310004;10004;Fornetto-Vigane;1;13;0;225;173;89;84;70;79;5;12;7;39;40;3;3;4;6;8;6;14;8;8;5;7;12;21;10;13;13;11;10;21;4;3;2;8;6;6;3;3;6;10;6;6;7;6;3;10;164;35;57;35;29;6;2;84;20;28;20;12;2;2;70;65;3;43;42;1;83;37;13;17;13;5;2;21;57;48;22;23;10;7;14;2;4;5;1;21;0;2;0;0;0;23;74;51;0;51;0;8716;6;57;16;79;173;29;26;9;11;3;1;6;92;92;89;3;30;11;48;11;4;13;17;26;10;2;2;4;2;52;29;6;57;24;7;1;0;0;132;68;19;2;0
3;Lombardia;12;Varese;3;Angera;12003;1200320002;20002;Montecatini;2;13;0;207;69;35;34;31;30;2;2;4;16;15;2;1;1;7;8;7;3;1;4;3;5;8;8;2;3;2;3;2;3;3;5;2;1;1;1;2;3;4;5;0;3;0;1;2;2;62;7;9;23;12;11;0;32;2;8;13;2;7;0;27;21;3;16;12;2;20;9;5;2;1;3;3;19;17;10;5;30;17;17;12;1;8;8;1;6;24;0;0;0;0;30;23;0;0;0;0;2326;2;20;1;23;69;7;4;3;3;3;3;18;10;10;10;0;10;0;0;0;0;0;2;6;2;0;0;0;0;9;1;0;1;7;1;1;0;0;24;4;4;2;0
3;Lombardia;12;Varese;3;Angera;12003;1200320003;20003;Paludi;2;13;0;206;45;27;18;18;21;1;3;2;13;11;0;2;1;0;1;2;1;2;5;4;5;2;2;7;2;8;1;1;2;0;0;2;0;1;3;4;3;2;0;4;2;4;0;1;1;45;5;10;17;9;2;2;27;2;4;13;6;0;2;26;23;3;18;17;1;16;7;2;2;0;1;1;9;15;11;6;4;3;0;2;2;0;2;1;3;1;0;0;0;0;4;15;0;0;0;0;1824;2;13;1;16;45;4;3;2;6;1;0;0;5;5;3;2;1;1;1;0;0;1;0;0;1;0;1;0;1;2;0;0;1;0;0;1;1;0;15;1;1;1;0
3;Lombardia;12;Varese;3;Angera;12003;1200340000;40000;Case sparse;4;13;0;-;173;91;82;80;82;2;6;3;43;42;1;2;3;5;9;9;11;7;7;7;13;17;19;12;12;14;9;4;18;1;5;5;4;2;5;4;7;10;12;6;8;6;5;2;9;168;23;49;48;32;14;2;90;13;29;27;13;7;1;76;73;3;51;51;0;74;29;21;12;4;4;3;32;55;37;22;10;5;1;5;4;1;3;1;8;0;0;2;0;0;10;68;22;0;22;0;8821;6;51;12;69;173;19;18;16;11;4;1;6;53;53;51;2;33;7;11;6;5;6;8;8;5;10;3;0;5;38;8;0;34;14;3;0;0;0;71;27;16;8;0
3;Lombardia;12;Varese;4;Arcisate;12004;1200410001;10001;Arcisate;1;8;1;381;7645;3715;3930;2967;3785;157;567;169;1572;1893;77;100;73;370;349;378;380;385;391;537;567;609;635;550;493;518;402;393;688;183;183;185;194;182;198;274;280;312;327;261;247;255;185;185;264;7210;451;2036;2458;1720;497;48;3495;204;993;1290;760;238;10;3526;3295;161;1995;1882;80;3022;1169;652;435;210;258;135;1318;2883;1677;795;525;245;251;230;44;118;110;17;328;145;25;27;0;0;525;3023;380;3;380;0;296913;534;2241;267;3042;7636;761;895;684;530;133;39;248;1462;1430;1311;119;458;568;285;141;87;178;279;368;76;105;42;35;97;764;386;64;428;473;241;124;34;11;3552;643;541;121;6
3;Lombardia;12;Varese;4;Arcisate;12004;1200410002;10002;Brenno Useria;1;10;0;382;1808;872;936;716;886;41;121;44;378;441;16;19;18;90;81;85;96;88;96;135;131;146;170;125;108;107;95;101;154;47;38;41;54;44;48;66;61;65;91;61;57;42;48;48;61;1702;107;493;570;411;111;10;820;42;230;314;180;50;4;879;840;26;483;464;13;673;263;143;97;52;39;20;319;746;394;187;39;12;9;23;7;3;8;1;22;8;4;5;0;0;39;730;63;0;63;0;74933;99;560;73;732;1808;187;234;135;138;35;3;21;369;365;340;25;74;60;206;35;23;24;82;91;19;15;35;16;21;146;149;24;151;88;59;36;6;0;811;267;53;19;1
3;Lombardia;12;Varese;4;Arcisate;12004;1200410003;10003;Velmaio;1;13;0;382;130;67;63;64;54;2;9;1;34;27;2;3;1;11;13;7;4;6;4;11;13;11;12;7;4;7;5;7;8;5;6;4;3;3;1;5;7;5;7;5;2;4;4;3;3;117;5;23;48;28;12;1;61;2;12;27;15;5;0;55;52;3;36;35;1;44;16;16;5;3;1;0;28;48;22;12;2;1;1;1;0;1;0;0;2;0;0;0;0;0;2;47;14;1;14;0;4019;9;32;7;48;130;12;13;8;8;6;1;6;18;18;14;4;8;6;0;6;0;1;1;1;1;4;0;0;1;9;4;0;3;5;2;2;0;2;70;8;3;2;1
3;Lombardia;12;Varese;4;Arcisate;12004;1200420004;20004;Roccolo;2;13;0;405;148;69;79;61;78;1;8;0;28;38;1;2;0;13;14;6;9;7;5;9;21;14;16;9;4;10;4;2;5;9;7;3;2;2;1;2;10;8;8;5;3;4;2;1;2;130;11;47;43;19;10;0;57;2;22;21;7;5;0;76;75;0;39;38;0;39;11;10;10;2;0;0;29;79;19;9;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;47;6;0;6;0;5943;1;46;2;49;148;11;6;10;17;4;1;7;33;33;29;4;0;28;1;0;0;0;3;12;2;1;8;3;1;14;12;2;9;16;2;2;0;0;59;28;1;0;0
3;Lombardia;12;Varese;4;Arcisate;12004;1200426605;26605;Casale Baranzello;2;13;0;359;15;8;7;8;4;0;3;0;6;2;0;0;0;0;3;1;0;0;0;1;2;4;1;0;0;0;1;0;2;0;2;0;0;0;0;1;1;3;1;0;0;0;0;0;0;14;0;1;7;3;3;0;7;0;1;5;0;1;0;8;7;1;6;5;1;3;0;0;0;0;0;0;6;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;0;5;0;511;0;4;1;5;15;1;1;0;3;0;0;0;6;5;4;1;2;2;0;2;0;1;0;0;1;0;0;0;1;2;1;0;1;2;0;1;0;0;10;2;1;1;0
3;Lombardia;12;Varese;4;Arcisate;12004;1200426703;26703;Mirabello;2;13;0;405;25;14;11;14;6;3;1;1;9;3;1;0;1;1;3;0;3;2;0;2;4;5;1;1;0;2;0;1;0;1;3;0;0;2;0;1;2;3;0;1;0;1;0;0;0;24;2;5;10;4;3;0;13;1;3;4;2;3;0;14;13;1;10;10;0;7;0;3;2;0;0;0;5;14;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;815;1;4;3;8;25;0;2;3;3;0;0;0;5;5;3;2;1;1;1;0;0;0;2;0;1;0;0;0;0;2;1;0;0;1;2;0;0;0;9;3;0;0;0
