SEZ2011,P1,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,0-5anni,6-19 anni,20-64 anni,over 65 anni
151460000001,14,1,0,0,0,0,0,1,1,2,1,1,0,0,2,0,5,7.14285714285714,0,42.8571428571429,50
151460000002,24,2,3,2,2,0,0,4,5,1,2,0,0,0,2,1,0,8.33333333333333,29.1666666666667,50,12.5
151460000003,23,0,0,0,0,0,0,0,1,0,2,1,1,2,3,3,10,0,0,30.4347826086957,69.5652173913043
151460000004,9,1,1,0,0,0,0,0,0,0,0,2,0,1,1,1,2,11.1111111111111,11.1111111111111,33.3333333333333,44.4444444444444
151460000005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,100
151460000006,7,0,0,0,0,0,0,1,0,0,0,1,1,2,0,1,1,0,0,71.4285714285714,28.5714285714286
151460000007,8,0,1,1,0,0,0,0,0,2,0,3,0,1,0,0,0,0,25,75,0
151460000008,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,66.6666666666667,33.3333333333333
151460000009,18,1,0,2,2,3,1,0,2,1,0,3,0,1,0,2,0,5.55555555555556,22.2222222222222,61.1111111111111,11.1111111111111
151460000010,14,2,1,2,0,0,2,0,1,2,1,1,2,0,0,0,0,14.2857142857143,21.4285714285714,64.2857142857143,0
151460000011,12,0,0,0,1,1,0,0,0,1,2,1,1,2,1,1,1,0,8.33333333333333,66.6666666666667,25
151460000012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
151460000014,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,100,0
151460000015,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,33.3333333333333,66.6666666666667
151460000016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
151460000017,5,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,60,40
151460000018,30,0,2,2,1,2,2,1,2,3,2,4,5,2,0,0,2,0,16.6666666666667,76.6666666666667,6.66666666666667
151460000019,64,2,6,4,3,4,2,2,7,6,6,4,1,4,4,3,6,3.125,20.3125,56.25,20.3125
151460000020,14,0,0,0,1,1,2,0,0,0,0,2,1,2,3,1,1,0,7.14285714285714,57.1428571428571,35.7142857142857
151460000021,146,17,5,4,6,9,6,13,15,18,13,7,6,5,5,8,9,11.6438356164384,10.2739726027397,63.013698630137,15.0684931506849
151460000022,350,17,19,13,19,9,18,25,25,27,31,39,19,21,16,24,28,4.85714285714286,14.5714285714286,61.1428571428572,19.4285714285714
151460000023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
151460000024,116,9,7,5,8,5,1,4,7,13,5,4,9,5,9,12,13,7.75862068965517,17.2413793103448,45.6896551724138,29.3103448275862
151460000025,100,5,6,8,7,3,6,6,12,6,8,6,2,10,2,6,7,5,21,59,15
151460000026,10,0,0,0,1,0,0,0,0,1,0,3,2,1,0,0,2,0,10,70,20
151460000027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
151460000028,110,6,9,3,6,3,7,7,9,5,7,9,7,10,5,8,9,5.45454545454545,16.3636363636364,58.1818181818182,20
151460000029,163,7,16,10,7,4,1,8,14,16,22,11,6,9,7,6,19,4.29447852760736,20.2453987730061,55.8282208588957,19.6319018404908
151460000030,112,1,0,6,10,3,8,3,4,13,14,8,7,5,13,7,10,0.892857142857143,14.2857142857143,58.0357142857143,26.7857142857143
151460000031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
151460000032,68,2,3,1,3,3,2,7,6,4,2,2,6,6,9,5,7,2.94117647058823,10.2941176470588,55.8823529411765,30.8823529411765
151460000033,40,1,2,1,4,1,2,1,3,2,7,0,5,8,3,0,0,2.5,17.5,72.5,7.5
151460000034,15,0,0,0,0,0,1,1,0,0,2,1,2,2,2,1,3,0,0,60,40
151460000035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
151460000036,27,1,2,2,2,2,0,1,0,1,3,5,2,1,1,0,4,3.7037037037037,22.2222222222222,55.5555555555556,18.5185185185185
151460000037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
151460000038,20,0,0,1,1,1,1,0,0,2,2,3,0,2,2,2,3,0,10,55,35
151460000039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
151460000040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
151460000041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
151460000042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
151460000043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
151460000044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
151460000045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
151460000046,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,100
