SEZ2011,NSEZ,ACE,CODLOC,CODASC,P1,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,I DIP STR,I DIP ANZ
151460000001,1,1,10006,1,14,1,0,0,0,0,0,1,1,2,1,1,0,0,2,0,5,=+(G2+H2+I2+T2+U2+V2)/+SUM(J2:S2)*100,=+SUM(T2:V2)/+SUM(J2:S2)*100
151460000002,2,1,10006,1,24,2,3,2,2,0,0,4,5,1,2,0,0,0,2,1,0,=+(G3+H3+I3+T3+U3+V3)/+SUM(J3:S3)*100,=+SUM(T3:V3)/+SUM(J3:S3)*100
151460000003,3,1,10006,1,23,0,0,0,0,0,0,0,1,0,2,1,1,2,3,3,10,=+(G4+H4+I4+T4+U4+V4)/+SUM(J4:S4)*100,=+SUM(T4:V4)/+SUM(J4:S4)*100
151460000004,4,1,10006,1,9,1,1,0,0,0,0,0,0,0,0,2,0,1,1,1,2,=+(G5+H5+I5+T5+U5+V5)/+SUM(J5:S5)*100,=+SUM(T5:V5)/+SUM(J5:S5)*100
151460000005,5,1,10006,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,=+(G6+H6+I6+T6+U6+V6)/+SUM(J6:S6)*100,=+SUM(T6:V6)/+SUM(J6:S6)*100
151460000006,6,1,10006,1,7,0,0,0,0,0,0,1,0,0,0,1,1,2,0,1,1,=+(G7+H7+I7+T7+U7+V7)/+SUM(J7:S7)*100,=+SUM(T7:V7)/+SUM(J7:S7)*100
151460000007,7,1,10006,1,8,0,1,1,0,0,0,0,0,2,0,3,0,1,0,0,0,=+(G8+H8+I8+T8+U8+V8)/+SUM(J8:S8)*100,=+SUM(T8:V8)/+SUM(J8:S8)*100
151460000008,8,1,10006,1,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,=+(G9+H9+I9+T9+U9+V9)/+SUM(J9:S9)*100,=+SUM(T9:V9)/+SUM(J9:S9)*100
151460000009,9,1,10006,1,18,1,0,2,2,3,1,0,2,1,0,3,0,1,0,2,0,=+(G10+H10+I10+T10+U10+V10)/+SUM(J10:S10)*100,=+SUM(T10:V10)/+SUM(J10:S10)*100
151460000010,10,1,10006,1,14,2,1,2,0,0,2,0,1,2,1,1,2,0,0,0,0,=+(G11+H11+I11+T11+U11+V11)/+SUM(J11:S11)*100,=+SUM(T11:V11)/+SUM(J11:S11)*100
151460000011,11,1,10006,1,12,0,0,0,1,1,0,0,0,1,2,1,1,2,1,1,1,=+(G12+H12+I12+T12+U12+V12)/+SUM(J12:S12)*100,=+SUM(T12:V12)/+SUM(J12:S12)*100
151460000012,12,1,10006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,=+(G13+H13+I13+T13+U13+V13)/+SUM(J13:S13)*100,=+SUM(T13:V13)/+SUM(J13:S13)*100
151460000014,14,1,10006,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,=+(G14+H14+I14+T14+U14+V14)/+SUM(J14:S14)*100,=+SUM(T14:V14)/+SUM(J14:S14)*100
151460000015,15,1,10006,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,=+(G15+H15+I15+T15+U15+V15)/+SUM(J15:S15)*100,=+SUM(T15:V15)/+SUM(J15:S15)*100
151460000016,16,1,10006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,=+(G16+H16+I16+T16+U16+V16)/+SUM(J16:S16)*100,=+SUM(T16:V16)/+SUM(J16:S16)*100
151460000017,17,1,10006,1,5,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,=+(G17+H17+I17+T17+U17+V17)/+SUM(J17:S17)*100,=+SUM(T17:V17)/+SUM(J17:S17)*100
151460000018,18,1,10006,1,30,0,2,2,1,2,2,1,2,3,2,4,5,2,0,0,2,=+(G18+H18+I18+T18+U18+V18)/+SUM(J18:S18)*100,=+SUM(T18:V18)/+SUM(J18:S18)*100
