SEZ2011,P1,ST1,ST2,%ST,FST,%MST,ST9,ST10,ST11,ST12,ST13,%STCONTEU,%STCONTAF,%STCONTAM,%STCONTAS,%STCONTOC,PF1,DMFAM,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,RES1,RES2,RES3,ST1,ST2,ST3,ST/RES1,ST/RES2,ST/RES3
151460000001.00000000,14,2,1,14.2857142857143,1,50,0,0,2,0,0,0,0,100,0,0,8,1.75,1,0,0,0,0,0,1,1,2,1,1,0,0,2,0,5,1,6,7,0,0,2,0,0,28.5714285714286
151460000002.00000000,24,7,4,29.1666666666667,3,42.8571428571429,2,0,0,5,0,28.5714285714286,0,0,71.4285714285714,0,10,2.4,2,3,2,2,0,0,4,5,1,2,0,0,0,2,1,0,9,12,3,3,4,0,33.3333333333333,33.3333333333333,0
151460000003.00000000,23,1,0,4.34782608695652,1,100,1,0,0,0,0,100,0,0,0,0,18,1.27777777777778,0,0,0,0,0,0,0,1,0,2,1,1,2,3,3,10,0,4,19,0,0,1,#DIV/0!,0,5.26315789473684
151460000004.00000000,9,0,0,0,0,#DIV/0!,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,4,2.25,1,1,0,0,0,0,0,0,0,0,2,0,1,1,1,2,2,2,5,0,0,0,0,0,0
151460000005.00000000,1,0,0,0,0,#DIV/0!,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,#DIV/0!,#DIV/0!,0
151460000006.00000000,7,0,0,0,0,#DIV/0!,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,4,1.75,0,0,0,0,0,0,1,0,0,0,1,1,2,0,1,1,0,2,5,0,0,0,#DIV/0!,0,0
151460000007.00000000,8,4,1,50,3,75,0,4,0,0,0,0,100,0,0,0,5,1.6,0,1,1,0,0,0,0,0,2,0,3,0,1,0,0,0,2,5,1,2,2,0,100,40,0
151460000008.00000000,3,0,0,0,0,#DIV/0!,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,1,0,0,0,#DIV/0!,0,0
151460000009.00000000,18,2,0,11.1111111111111,2,100,2,0,0,0,0,100,0,0,0,0,8,2.25,1,0,2,2,3,1,0,2,1,0,3,0,1,0,2,0,9,6,3,1,1,0,11.1111111111111,16.6666666666667,0
151460000010.00000000,14,0,0,0,0,#DIV/0!,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,5,2.8,2,1,2,0,0,2,0,1,2,1,1,2,0,0,0,0,7,5,2,0,0,0,0,0,0
