SEZ2011,MURATURA PORTANTE,CALCESTRUZZO ARMATO,"MATERIALE (LEGNO, ACCIAIO�)",PRIMA 1919,1919-1945,1946-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2005,DOPO 2005,EDIFICI RES. STATO OTTIMO,EDIFICI RES. STATO BUONO,EDIFICI RES. STATO MEDIOCRE,EDIFICI RES. STATO PESSIMO
151460001355.0000000,8,0,0,3,5,0,0,0,0,0,0,0,1,7,0,0
151460001356.0000000,3,0,0,2,0,1,0,0,0,0,0,0,1,2,0,0
151460001357.0000000,3,1,1,3,1,1,0,0,0,0,0,0,1,4,0,0
151460001358.0000000,5,3,1,3,3,2,1,0,0,0,0,0,1,8,0,0
151460001359.0000000,3,2,0,3,0,2,0,0,0,0,0,0,0,5,0,0
151460001360.0000000,4,1,0,4,0,1,0,0,0,0,0,0,0,5,0,0
151460001361.0000000,4,1,1,5,0,0,0,0,1,0,0,0,1,4,1,0
151460001362.0000000,4,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0
151460001363.0000000,4,0,1,3,2,0,0,0,0,0,0,0,1,4,0,0
151460001364.0000000,2,2,0,1,1,1,0,1,0,0,0,0,1,2,1,0
151460001365.0000000,12,3,0,7,0,4,4,0,0,0,0,0,12,3,0,0
151460001366.0000000,5,1,0,3,0,2,1,0,0,0,0,0,3,3,0,0
151460001367.0000000,6,0,0,6,0,0,0,0,0,0,0,0,2,4,0,0
151460001368.0000000,9,0,0,8,1,0,0,0,0,0,0,0,8,1,0,0
151460001369.0000000,3,2,0,0,3,2,0,0,0,0,0,0,1,4,0,0
151460001370.0000000,2,5,0,0,2,4,1,0,0,0,0,0,1,6,0,0
151460001371.0000000,3,1,0,1,2,1,0,0,0,0,0,0,2,2,0,0
151460001372.0000000,8,0,0,2,4,2,0,0,0,0,0,0,3,4,1,0
151460001373.0000000,6,7,0,1,10,1,0,1,0,0,0,0,7,6,0,0
151460001374.0000000,6,2,0,2,3,2,1,0,0,0,0,0,8,0,0,0
151460001375.0000000,5,1,0,2,4,0,0,0,0,0,0,0,5,1,0,0
151460001376.0000000,5,1,0,0,3,2,1,0,0,0,0,0,4,2,0,0
151460001377.0000000,3,3,0,1,1,4,0,0,0,0,0,0,1,4,1,0
151460001378.0000000,1,2,0,0,1,2,0,0,0,0,0,0,1,2,0,0
151460001379.0000000,5,2,0,5,1,0,1,0,0,0,0,0,6,1,0,0
151460001380.0000000,1,1,0,1,0,1,0,0,0,0,0,0,2,0,0,0
151460001381.0000000,5,0,0,0,3,2,0,0,0,0,0,0,1,4,0,0
151460001382.0000000,6,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0
151460001383.0000000,4,2,1,1,4,2,0,0,0,0,0,0,1,6,0,0
151460001384.0000000,8,1,0,5,2,2,0,0,0,0,0,0,1,8,0,0
151460001385.0000000,8,0,0,4,4,0,0,0,0,0,0,0,0,8,0,0
151460001386.0000000,26,0,0,5,19,2,0,0,0,0,0,0,23,3,0,0
151460001387.0000000,9,5,0,1,5,6,2,0,0,0,0,0,8,6,0,0
151460001388.0000000,9,2,0,6,2,1,1,1,0,0,0,0,4,7,0,0
151460001389.0000000,5,2,1,0,6,2,0,0,0,0,0,0,5,2,1,0
151460001390.0000000,11,1,0,1,10,1,0,0,0,0,0,0,1,10,1,0
151460001391.0000000,6,2,0,0,6,2,0,0,0,0,0,0,6,1,1,0
151460001392.0000000,8,3,0,4,3,2,0,0,2,0,0,0,11,0,0,0
151460001393.0000000,13,2,1,6,6,4,0,0,0,0,0,0,15,1,0,0
151460001394.0000000,7,0,0,0,6,1,0,0,0,0,0,0,1,4,2,0
151460001395.0000000,9,0,0,5,4,0,0,0,0,0,0,0,0,8,1,0
151460001396.0000000,9,2,0,8,1,0,0,1,0,0,1,0,2,9,0,0
151460001397.0000000,6,1,0,3,3,0,1,0,0,0,0,0,6,1,0,0
151460001398.0000000,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0
151460001399.0000000,1,5,0,0,6,0,0,0,0,0,0,0,6,0,0,0
151460001400.0000000,3,5,0,0,3,5,0,0,0,0,0,0,4,4,0,0
151460001401.0000000,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0
151460001402.0000000,5,5,0,0,5,1,0,0,0,0,4,0,8,2,0,0
151460001403.0000000,7,0,0,3,4,0,0,0,0,0,0,0,7,0,0,0
151460001404.0000000,1,4,0,1,3,1,0,0,0,0,0,0,5,0,0,0
151460001405.0000000,3,3,0,0,2,4,0,0,0,0,0,0,5,1,0,0
151460001406.0000000,5,3,0,2,6,0,0,0,0,0,0,0,8,0,0,0
151460001407.0000000,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
151460001408.0000000,4,4,0,4,0,2,1,0,0,1,0,0,8,0,0,0
151460001409.0000000,9,1,0,4,3,3,0,0,0,0,0,0,9,1,0,0
151460001410.0000000,3,6,0,0,5,3,1,0,0,0,0,0,8,1,0,0
151460001411.0000000,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
151460001412.0000000,2,1,0,0,2,1,0,0,0,0,0,0,1,2,0,0
151460001413.0000000,2,1,0,0,2,1,0,0,0,0,0,0,0,3,0,0
151460001414.0000000,1,12,0,0,1,10,2,0,0,0,0,0,0,13,0,0
151460001415.0000000,0,2,0,0,1,1,0,0,0,0,0,0,2,0,0,0
151460001416.0000000,1,10,0,0,7,4,0,0,0,0,0,0,11,0,0,0
151460001417.0000000,1,3,0,1,1,2,0,0,0,0,0,0,4,0,0,0
151460001418.0000000,3,4,0,2,2,2,1,0,0,0,0,0,7,0,0,0
151460001419.0000000,3,1,0,1,2,1,0,0,0,0,0,0,0,4,0,0
151460001420.0000000,5,1,0,5,0,1,0,0,0,0,0,0,0,5,1,0
151460001421.0000000,9,0,0,6,0,3,0,0,0,0,0,0,3,6,0,0
151460001422.0000000,10,3,0,0,10,1,2,0,0,0,0,0,5,8,0,0
151460001423.0000000,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0
151460001424.0000000,8,5,0,4,4,0,1,3,1,0,0,0,6,6,1,0
151460001425.0000000,3,3,0,1,2,0,3,0,0,0,0,0,4,2,0,0
151460001426.0000000,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
151460001427.0000000,5,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0
151460001428.0000000,5,2,0,4,1,0,2,0,0,0,0,0,6,1,0,0
151460001429.0000000,7,4,0,7,0,0,4,0,0,0,0,0,8,3,0,0
151460001430.0000000,4,4,0,3,1,0,4,0,0,0,0,0,4,3,1,0
151460001431.0000000,5,1,0,1,4,0,0,1,0,0,0,0,2,4,0,0
151460001432.0000000,10,1,0,7,3,1,0,0,0,0,0,0,9,2,0,0
151460001433.0000000,9,3,0,9,0,1,0,1,0,1,0,0,12,0,0,0
151460001434.0000000,6,4,0,3,3,4,0,0,0,0,0,0,5,5,0,0
151460001435.0000000,5,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0
151460001436.0000000,7,0,0,7,0,0,0,0,0,0,0,0,7,0,0,0
151460001437.0000000,7,1,0,1,6,1,0,0,0,0,0,0,8,0,0,0
151460001438.0000000,8,0,0,8,0,0,0,0,0,0,0,0,8,0,0,0
